PUERTO,OPERACIÓN,AÑO,TIPO_CARGA,TONELADAS,REGIÓN,LATITUD,LONGITUD
Quellón,Cabotaje embarcado,2016,Carga general,118.829,Los Lagos,"-43,12","-73,58"
Quellón,Cabotaje embarcado,2016,Granel sólido,,Los Lagos,"-43,12","-73,58"
Quellón,Cabotaje embarcado,2016,Granel líquido,,Los Lagos,"-43,12","-73,58"
Quellón,Cabotaje desembarcado,2016,Carga general,193.560,Los Lagos,"-43,12","-73,58"
Quellón,Cabotaje desembarcado,2016,Granel sólido,,Los Lagos,"-43,12","-73,58"
Quellón,Cabotaje desembarcado,2016,Granel líquido,,Los Lagos,"-43,12","-73,58"
Chonchi,Cabotaje embarcado,2016,Carga general,132,Los Lagos,"-42,62","-73,77"
Chonchi,Cabotaje embarcado,2016,Granel sólido,,Los Lagos,"-42,62","-73,77"
Chonchi,Cabotaje embarcado,2016,Granel líquido,,Los Lagos,"-42,62","-73,77"
Chonchi,Cabotaje desembarcado,2016,Carga general,18.404,Los Lagos,"-42,62","-73,77"
Chonchi,Cabotaje desembarcado,2016,Granel sólido,,Los Lagos,"-42,62","-73,77"
Chonchi,Cabotaje desembarcado,2016,Granel líquido,,Los Lagos,"-42,62","-73,77"
Chaitén,Cabotaje embarcado,2016,Carga general,22.462,Los Lagos,"-42,91","-72,72"
Chaitén,Cabotaje embarcado,2016,Granel sólido,,Los Lagos,"-42,91","-72,72"
Chaitén,Cabotaje embarcado,2016,Granel líquido,,Los Lagos,"-42,91","-72,72"
Chaitén,Cabotaje desembarcado,2016,Carga general,62.829,Los Lagos,"-42,91","-72,72"
Chaitén,Cabotaje desembarcado,2016,Granel sólido,,Los Lagos,"-42,91","-72,72"
Chaitén,Cabotaje desembarcado,2016,Granel líquido,,Los Lagos,"-42,91","-72,72"
Melinka,Cabotaje embarcado,2016,Carga general,19.908,Aysén,"-43,9","-73,75"
Melinka,Cabotaje embarcado,2016,Granel sólido,,Aysén,"-43,9","-73,75"
Melinka,Cabotaje embarcado,2016,Granel líquido,,Aysén,"-43,9","-73,75"
Melinka,Cabotaje desembarcado,2016,Carga general,18.613,Aysén,"-43,9","-73,75"
Melinka,Cabotaje desembarcado,2016,Granel sólido,,Aysén,"-43,9","-73,75"
Melinka,Cabotaje desembarcado,2016,Granel líquido,,Aysén,"-43,9","-73,75"
Puerto Aguirre,Cabotaje embarcado,2016,Carga general,1.788,Aysén,"-45,17","-73,52"
Puerto Aguirre,Cabotaje embarcado,2016,Granel sólido,,Aysén,"-45,17","-73,52"
Puerto Aguirre,Cabotaje embarcado,2016,Granel líquido,,Aysén,"-45,17","-73,52"
Puerto Aguirre,Cabotaje desembarcado,2016,Carga general,7.058,Aysén,"-45,17","-73,52"
Puerto Aguirre,Cabotaje desembarcado,2016,Granel sólido,,Aysén,"-45,17","-73,52"
Puerto Aguirre,Cabotaje desembarcado,2016,Granel líquido,,Aysén,"-45,17","-73,52"
Puerto Cisnes,Cabotaje embarcado,2016,Carga general,15.160,Aysén,"-44,73","-72,69"
Puerto Cisnes,Cabotaje embarcado,2016,Granel sólido,,Aysén,"-44,73","-72,69"
Puerto Cisnes,Cabotaje embarcado,2016,Granel líquido,,Aysén,"-44,73","-72,69"
Puerto Cisnes,Cabotaje desembarcado,2016,Carga general,19.677,Aysén,"-44,73","-72,69"
Puerto Cisnes,Cabotaje desembarcado,2016,Granel sólido,,Aysén,"-44,73","-72,69"
Puerto Cisnes,Cabotaje desembarcado,2016,Granel líquido,,Aysén,"-44,73","-72,69"
Chacabuco,Cabotaje embarcado,2016,Carga general,137.442,Aysén,"-45,47","-72,83"
Chacabuco,Cabotaje embarcado,2016,Granel sólido,,Aysén,"-45,47","-72,83"
Chacabuco,Cabotaje embarcado,2016,Granel líquido,,Aysén,"-45,47","-72,83"
Chacabuco,Cabotaje desembarcado,2016,Carga general,223.571,Aysén,"-45,47","-72,83"
Chacabuco,Cabotaje desembarcado,2016,Granel sólido,,Aysén,"-45,47","-72,83"
Chacabuco,Cabotaje desembarcado,2016,Granel líquido,125.559,Aysén,"-45,47","-72,83"
Lago General Carrera,Cabotaje embarcado,2016,Carga general,47.683,Aysén,,
Lago General Carrera,Cabotaje embarcado,2016,Granel sólido,,Aysén,,
Lago General Carrera,Cabotaje embarcado,2016,Granel líquido,,Aysén,,
Lago General Carrera,Cabotaje desembarcado,2016,Carga general,36.520,Aysén,,
Lago General Carrera,Cabotaje desembarcado,2016,Granel sólido,,Aysén,,
Lago General Carrera,Cabotaje desembarcado,2016,Granel líquido,,Aysén,,
Puerto Natales,Cabotaje embarcado,2016,Carga general,64.272,Magallanes,"-51,75","-72,53"
Puerto Natales,Cabotaje embarcado,2016,Granel sólido,,Magallanes,"-51,75","-72,53"
Puerto Natales,Cabotaje embarcado,2016,Granel líquido,,Magallanes,"-51,75","-72,53"
Puerto Natales,Cabotaje desembarcado,2016,Carga general,113.530,Magallanes,"-51,75","-72,53"
Puerto Natales,Cabotaje desembarcado,2016,Granel sólido,,Magallanes,"-51,75","-72,53"
Puerto Natales,Cabotaje desembarcado,2016,Granel líquido,,Magallanes,"-51,75","-72,53"
Isla Guarello,Cabotaje embarcado,2016,Carga general,,Magallanes,,
Isla Guarello,Cabotaje embarcado,2016,Granel sólido,634.173,Magallanes,,
Isla Guarello,Cabotaje embarcado,2016,Granel líquido,,Magallanes,,
Isla Guarello,Cabotaje desembarcado,2016,Carga general,319,Magallanes,,
Isla Guarello,Cabotaje desembarcado,2016,Granel sólido,,Magallanes,,
Isla Guarello,Cabotaje desembarcado,2016,Granel líquido,617,Magallanes,,
Otway - Isla Riesco,Cabotaje embarcado,2016,Carga general,,Magallanes,"-52,94","-71,71"
Otway - Isla Riesco,Cabotaje embarcado,2016,Granel sólido,1.637.187,Magallanes,"-52,94","-71,71"
Otway - Isla Riesco,Cabotaje embarcado,2016,Granel líquido,,Magallanes,"-52,94","-71,71"
Otway - Isla Riesco,Cabotaje desembarcado,2016,Carga general,,Magallanes,"-52,94","-71,71"
Otway - Isla Riesco,Cabotaje desembarcado,2016,Granel sólido,,Magallanes,"-52,94","-71,71"
Otway - Isla Riesco,Cabotaje desembarcado,2016,Granel líquido,,Magallanes,"-52,94","-71,71"
Punta Arenas,Cabotaje embarcado,2016,Carga general,29.775,Magallanes,"-53,17","-70,9"
Punta Arenas,Cabotaje embarcado,2016,Granel sólido,,Magallanes,"-53,17","-70,9"
Punta Arenas,Cabotaje embarcado,2016,Granel líquido,,Magallanes,"-53,17","-70,9"
Punta Arenas,Cabotaje desembarcado,2016,Carga general,77.214,Magallanes,"-53,17","-70,9"
Punta Arenas,Cabotaje desembarcado,2016,Granel sólido,,Magallanes,"-53,17","-70,9"
Punta Arenas,Cabotaje desembarcado,2016,Granel líquido,74.916,Magallanes,"-53,17","-70,9"
Tres Puentes,Cabotaje embarcado,2016,Carga general,89.427,Magallanes,"-53,12","-70,87"
Tres Puentes,Cabotaje embarcado,2016,Granel sólido,,Magallanes,"-53,12","-70,87"
Tres Puentes,Cabotaje embarcado,2016,Granel líquido,,Magallanes,"-53,12","-70,87"
Tres Puentes,Cabotaje desembarcado,2016,Carga general,59.776,Magallanes,"-53,12","-70,87"
Tres Puentes,Cabotaje desembarcado,2016,Granel sólido,,Magallanes,"-53,12","-70,87"
Tres Puentes,Cabotaje desembarcado,2016,Granel líquido,,Magallanes,"-53,12","-70,87"
Cabo Negro,Cabotaje embarcado,2016,Carga general,,Magallanes,"-52,93","-70,8"
Cabo Negro,Cabotaje embarcado,2016,Granel sólido,,Magallanes,"-52,93","-70,8"
Cabo Negro,Cabotaje embarcado,2016,Granel líquido,36.043,Magallanes,"-52,93","-70,8"
Cabo Negro,Cabotaje desembarcado,2016,Carga general,,Magallanes,"-52,93","-70,8"
Cabo Negro,Cabotaje desembarcado,2016,Granel sólido,,Magallanes,"-52,93","-70,8"
Cabo Negro,Cabotaje desembarcado,2016,Granel líquido,,Magallanes,"-52,93","-70,8"
Porvenir,Cabotaje embarcado,2016,Carga general,59.776,Magallanes,,
Porvenir,Cabotaje embarcado,2016,Granel sólido,,Magallanes,,
Porvenir,Cabotaje embarcado,2016,Granel líquido,,Magallanes,,
Porvenir,Cabotaje desembarcado,2016,Carga general,89.427,Magallanes,,
Porvenir,Cabotaje desembarcado,2016,Granel sólido,,Magallanes,,
Porvenir,Cabotaje desembarcado,2016,Granel líquido,,Magallanes,,
Puerto Williams,Cabotaje embarcado,2016,Carga general,5.020,Magallanes,"-54,93","-67,61"
Puerto Williams,Cabotaje embarcado,2016,Granel sólido,,Magallanes,"-54,93","-67,61"
Puerto Williams,Cabotaje embarcado,2016,Granel líquido,,Magallanes,"-54,93","-67,61"
Puerto Williams,Cabotaje desembarcado,2016,Carga general,13.027,Magallanes,"-54,93","-67,61"
Puerto Williams,Cabotaje desembarcado,2016,Granel sólido,,Magallanes,"-54,93","-67,61"
Puerto Williams,Cabotaje desembarcado,2016,Granel líquido,,Magallanes,"-54,93","-67,61"
Otros Puertos,Cabotaje embarcado,2016,Carga general,465.651,S/C,,
Otros Puertos,Cabotaje embarcado,2016,Granel sólido,,S/C,,
Otros Puertos,Cabotaje embarcado,2016,Granel líquido,,S/C,,
Otros Puertos,Cabotaje desembarcado,2016,Carga general,957.254,S/C,,
Otros Puertos,Cabotaje desembarcado,2016,Granel sólido,,S/C,,
Otros Puertos,Cabotaje desembarcado,2016,Granel líquido,466.939,S/C,,
Arica,Tránsito,2016,Sin tipificar,3.089.392,Arica y Parinacota,"-18,47","-70,33"
Iquique,Tránsito,2016,Sin tipificar,252.029,Tarapacá,"-20,2","-70,16"
Patillos,Tránsito,2016,Sin tipificar,0,Tarapacá,"-20,75","-70,19"
Punta Patache,Tránsito,2016,Sin tipificar,0,Tarapacá,"-20,8","-70,19"
Tocopilla,Tránsito,2016,Sin tipificar,0,Antofagasta,"-22,09","-70,21"
Caleta Michilla,Tránsito,2016,Sin tipificar,0,Antofagasta,"-22,72","-70,29"
Mejillones,Tránsito,2016,Sin tipificar,0,Antofagasta,"-23,09","-70,42"
Puerto Angamos,Tránsito,2016,Sin tipificar,0,Antofagasta,"-23,07","-70,39"
Antofagasta,Tránsito,2016,Sin tipificar,330.168,Antofagasta,"-23,65","-70,41"
